"title","author","rank_score","rating","n_reviews","n_pages","year","first_published","publisher","characters","language","series","setting","description"
"Jejak Kupu-kupu","Agnes Jessica",286,3.85,58,520,2005,2004,"Gramedia Pustaka Utama",NA,"Indonesian",NA,NA,"Alisa merasa terpukul ketika roda kehidupan memutarbalikkan nasibnya. Dia terbiasa dengan kemewahan tiba-tiba harus menjadi penghuni panti asuhan ketika orangtuanya meninggal karena kecelakaan. Apalagi Danu, pengelola panti yang sebetulnya tampan itu, bersikap sangat dingin dan keras padanya. Pulang malam tidak boleh, pacaran dimarahi, apalagi bersenang-senang dengan gengn"
"Akar Berpilin: Sajak-sajak 2001-2007","Gus tf Sakai",284,3.76,4,70,2009,NA,"Gramedia Pustaka Utama",NA,"Indonesian",NA,NA,"Kumpulan puisi dalam buku ini telah dimuat di berbagai media massa di Indonesia.Menurut Pamela Allen (pengajar dan peneliti bidang bahasa dan sastra dari Universitas Tasmania, Australia)puisi Gus tf selalu menyimpan sesuatu yang magis. Penyair mampu membawa pembaca ke tempat-tempat yang belum pernah dijejaki. Dari sana dunia selalu kelihatan berbeda. Hal-hal yang biasa sud"
"Aku Melawan Teroris","Imam Samudra",282,3.55,12,280,2004,NA,"Jazera",NA,"Indonesian",NA,NA,"Tangismu wahai bayi-bayi tanpa kepala…dibentur ditembok-tembok Palestina…jeritmu wahai bayi-bayi Afghanistan…yang memanggil-manggilku tanpa lengan…dieksekusi bom-bom jahannam…milik setan Amerika dan Sekutu…saat ayah bundamu menjalani Ramadhan!Ini aku,saudaramu…ini aku,datang dengan secuil bombing…kan kubalaskan sakit hatimu…kan kubalaskan darah-darahmu…darah dengan darah…n"
"Peluru di Matamu (Johana Rijkaard, Buku 3)","Afifah Afra",282,3.74,4,193,2003,NA,"Era Intermedia",NA,"Indonesian","Johana Rijkaard #3",NA,"Pesona klasik dan ketampanan lelaki itu senantiasa menawan para gadis. Namun Amerika, negeri yang sejak Perang Dunia II menjadi negara adikuasa, telah membuatnya terluka dan kalah.Jack, lelaki itu pun menjelma menjadi elang dan melanglang ke negeri damai, Swiss, untuk menikmati keindahan kuntum-kuntum bunganya. Namun yang terjadi kemudian, sekuntum mawar berduri mematahkan"
"Ibuk,","Iwan Setyawan",281,3.84,247,291,2012,NA,"Gramedia Pustaka Utama",NA,"Indonesian",NA,NA,"""Seperti sepatumu ini, Nduk. Kadang kita mesti berpijak dengan sesuatu yang tak sempurna. Tapi kamu mesti kuat. Buatlah pijakanmu kuat.”-Ibuk-Masih belia usia Tinah saat itu. Suatu pagi di pasar Batu telah mengubah hidupnya. Sim, seorang kenek angkot, seorang playboy pasar yang berambut selalu klimis dan bersandal jepit, hadir dalam hidup Tinah lewat sebuah tatapan mata. K"
"Tersentuh Ilalang","Afifah Afra",279,3.39,1,206,2003,NA,"DAR! Mizan","Rachel Honeybourne (Beauty)","Indonesian","Tersentuh Ilalang #1","Indonesia","Tentang seorang wartawati bernama Rachel yang sudah penat pada kebenaran nama ayahnya. Dalam nuansa yang penuh dengan keegoisan, kebohongan, keserakahan, dan keangkuhan, Rachel mencoba meluluhkannya.Sejauh apakah sentuhan ilalang itu menggores kebesaran raksasa busuk itu? Mampukah sentuhan ilalang itu mengubah semuanya tanpa cela, luka dan renjana?"
"Hampir Sebuah Subversi: Kumpulan Cerpen","Kuntowijoyo",278,3.84,9,188,1999,NA,"Grasindo",NA,"Indonesian",NA,NA,NA
"London: Angel","Windry Ramadhina",277,3.81,274,330,2013,NA,"Gagas Media",NA,"Indonesian","Setiap Tempat Punya Cerita #5",NA,"Pembaca Tersayang,Mari berjalan di sepanjang bantaran Sungai Thames, dalam rintik gerimis dan gemilang cahaya dari London Eye. Windry Ramadhina, penulis novel Orange, Memori, dan Montase mengajak kita menemani seorang penulis bernama Gilang mengejar cinta Ning hingga ke Fitzrovia. Namun, ternyata tidak semudah itu menyatakan cinta. Kota London malah mengarahkannya kepada s"
"Adam Ma'rifat","Danarto",276,3.92,23,92,2004,1982,"Mahatari",NA,"Indonesian",NA,NA,NA
"Perang Eropa II","P.K. Ojong",276,4.17,20,410,2004,NA,"Penerbit Buku Kompas",NA,"Indonesian",NA,NA,"Mengapa sejarah menjadi penting? Alasan utamanya adalah karena dengan memahami sejarah segala hal yang ada sekarang menjadi make sense. Ya! Sejarah sedikit banyak membuat kita mengerti akan segala hal yang ada sekarang. Dengan memahami sejarah kita bisa menjadi maklum atau setidaknya mengerti mengapa Amerika menjadi pusat ilmu pengetahuan dan universitasnya menjadi acuan d"
"Aku Ingin Menciummu Sekali Saja","F.X. Rudy Gunawan",275,3.42,4,140,2005,NA,"Gagas Media",NA,"Indonesian",NA,NA,"Saya sudah berusia 25 tahun, Arnold..., tapi baru sekali ini saya mengalami peristiwa menakjubkan ini.... Saya pikir kamu berhak mendapatkan sebuah ciuman dari saya.Haahhh?!Arnold menatap Kasih dengan tatapan membelalak. Matanya yang besar dan lucu membuat Kasih tertawa melihatnya.Ya, Arnold. Sekarang, ayo pejamkan matamu!Perlahan Arnold memejamkan matanya.Jantungnya berde"
"Bulan","Tere Liye",274,4.31,415,400,2015,NA,"Gramedia Pustaka Utama",NA,"Indonesian","Bumi #2",NA,"Namanya Seli, usianya 15 tahun, kelas sepuluh. Dia sama seperti remaja yang lain. Menyukai hal yang sama, mendengarkan lagu-lagu yang sama, pergi ke gerai fast food, menonton serial drama, film, dan hal-hal yang disukai remaja.Tetapi ada sebuah rahasia kecil Seli yang tidak pernah diketahui siapa pun. Sesuatu yang dia simpan sendiri sejak kecil. Sesuatu yang menakjubkan de"
"Jurnalisme Sastrawi: Antologi Liputan Mendalam dan Memikat","Agus Sopian",272,4.02,26,324,2008,NA,"KPG-Pantau",NA,"Indonesian",NA,NA,"JURNALISME SASTRAWI satu genre dalam jurnalisme yang pada mulanya berkembang di Amerika Serikat tahun 1960-an. Ia menggabungkan disiplin paling berat dalam jurnalisme serta kehalusan dan kenikmatan bercerita dalam novel. Wawancara bisa dilakukan dengan puluhan, bahkan sering ratusan, narasumber. Risetnya mendalam. Waktu bekerjanya lama, bisa berbulan-bulan. Ceritanya juga"
"Analisis Gender dan Transformasi Sosial","Mansour Fakih",271,3.94,30,186,1998,NA,"INSISTPress",NA,"Indonesian",NA,NA,"Buku yang menguraikan pengertian gender dan kaitannya dengan berbagai konsep tentang perubahan sosial. Buku pegangan bagi anda yang menggeluti isu-isu HAM, gender, dan gerakan sosial.Lihat juga Edisi terbarukan, tahun 2016 ."
"Da Conspiracao","Afifah Afra",268,4.1,28,632,2012,NA,"Indiva Media Kreasi",NA,"Indonesian","De Winst #3",NA,"Raden Mas Rangga Puruhita, pemuda terpelajar, sarjana ekonomi lulusan Leiden, ningrat Jawa, dan visioner. Ia dibuang ke Flores karena terlibat dalam gerakan melawan kekuasaan pemerintah Hindia Belanda.Tan Sun Nio, gadis yang jelita, cerdas, ambisius, dan terlahir dari keluarga keturunan Tionghoa yang konservatif. Ia membuang diri ke Flores karena dikhianati calon suaminya"
"Seperti Dendam, Rindu Harus Dibayar Tuntas","Eka Kurniawan",266,3.92,491,245,2014,NA,"Gramedia Pustaka Utama","Ajo Kawir, Si Tokek","Indonesian",NA,NA,"Vivid, bawdy, comic, and arresting: the exciting new novel by the Indonesian phenomenon Ajo Kawir is one of the toughest fighters in the Javanese underworld, his fearlessness matched only by his unquenchable thirst for brawling. But the young thug is driven by a painful secret – he is impotent. When he finally meets his match in the shape of the fearsomely beautiful bodyg"
"Melawan dengan Restoran","Sobron Aidit",265,3.1,8,154,2007,NA,"Mediakita & Penerbit Kukusan",NA,"Indonesian",NA,NA,NA
"Teman Minum Kopi","Zara Zettira Z.R.",265,3.29,4,NA,2006,NA,"lulu.com",NA,NA,NA,NA,"Compilations of essays and short stories by Indonesian people who live overseas about how they try to adjust with their new lifestyle, culture,society and community in the country they live now. Good reference for those who are planning to move to other country or just curious how Indonesian survive in many different countries. Written by 8 Indonesians who live in Canada,"
"Salju di Paris","Sitor Situmorang",262,3.7,7,102,1994,NA,"Gramedia Widiasarana Indonesia",NA,"Indonesian",NA,"Indonesia","Biasanya, orang hanya mengenal Sitor Situmorang sebagai penyair. Dalam kenyataan, Sitor juga menulis sejumlah cerpen. Salah satu kumpulan cerpennya, yaitu Pertempuran dan Salju di Paris (1956), malahan terpilih sebagai pemenang Hadiah Sastra Nasional Badan Musyawarah Kebudayaan Nasional (BMKN) tahun 1955/1956.Kumpulan cerpen Salju di Paris ini berisi 12 cerpen Sitor dan di"
"Jangan Pergi, Lara","Mira W.",257,3.9,25,195,1998,NA,"Gramedia Pustaka Utama",NA,NA,NA,NA,"Karena iba pada saudara kembar Lara yang mengidap penyakit jantung, Dokter Adrian memilih Lina, dan memutuskan hubungannya dengan Lara. Lara kemudian berpaling pada Dedi, bekas pasiennya yang selalu mengejar-ngejar dirinya.Dokter Adrian baru menyesali keputusannya ketika sesudah dia menikah dengan Lina, Lara didiagnosis mengidap kanker tulang....Akan kembalikah Dokter Adri"
"Isyarat: Kumpulan Esai","Sutardji Calzoum Bachri",256,4.12,4,506,2007,NA,"Indonesia Tera",NA,"Indonesian",NA,NA,"Memuat esai-esai paling lengkap dari Sutardji Calzoum Bachri yang nyaris tak terdokumentasi dengan baik. Sutardji Calzoum Bachri adalah bagian penting dari sastra Indonesia modern yang tak bisa melepaskan diri dari percik-percik pemikiran kritisnya. Buku ini menjadi satu-satunya dokumen folder terlengkap yang memuat sebagian besar percik-percik pemikiran pentingnya perihal"
"And The Star Is Me","Afifah Afra",256,3.6,5,264,2007,NA,"Indiva Media Kreasi",NA,"Indonesian",NA,NA,"Mengapa ada orang yang sukses dan ada yang gagal? Mengapa ada yang bisa menggapai puncak prestasi, dan ada yang bertahan dalam taraf 'biasa-biasa' saja. Mengapa ada yang mampu melangkah dengan percaya diri, namun ada pula yang tunduk dalam kerendahdirian?APA YANG SALAH?!Jangan salahkan Bunda yang mengandung. Jangan salahkan nasib yang tidak berpihak kepada kita. Jangan sal"
"Manusia Langit","J.A. Sonjaya",256,3.59,22,224,2010,NA,"Buku Kompas",NA,"Indonesian",NA,NA,"MAHENDRA, seorang arkeolog muda, berusaha melepaskan diri dari kungkungan peradaban kampus. Ia kabur ke Banuaha, sebuah kampung di pedalaman Pulau Nias, yang diyakini penduduk aslinya sebagai tempat turunnya manusia dari langit. Di sana ia banyak belajar soal persamaan dan perbedaan antara dua dunia: dunia kampus di Yogyakarta dan dunia orang Nias di Banuaha. Persamaan dan"
"Ketawa Ngakak di Senayan: Humor-humor Anggota DPR","Baharuddin Aritonang",255,3.14,2,124,2003,NA,"Pustaka Pergaulan",NA,"Indonesian",NA,NA,NA
"Keajaiban di Pasar Senen","Misbach Yusa Biran",251,4.03,50,177,2008,1971,"KPG",NA,"Indonesian",NA,"Indonesia","Sebanyak 17 cerita dalam buku ini-lima diantaranya belum pernah disertakan dalam terbitan pertama,1971-akan membawa kita ke dalam situasi Indonesia tahun 1950-an yang romantik. Itulah masa ketika Pasar Senen menjadi tempat berkumpulnya para seniman muda, sejalan dengan mulainya kegiatan pembuatan film nasional dan ramainya pementasan sandiwara.Dengan lincah Misbach Yusa Bi"
"Bunga Bunga Biru","Afifah Afra",251,3.57,4,162,2004,NA,"Gema Insani Press",NA,"Indonesian","Marabunta #3",NA,NA
"Éclair: Pagi Terakhir di Rusia","Prisca Primasari",251,3.9,142,236,2011,NA,"Gagas Media","Ekaterina Fyodorovna, Sergei V. Snegov, Stepan V. Snegov, Lhiver Olivier, Kay Olivier, Claudine Olivier, Vasilissa Evgeniya","Indonesian",NA,NA,"Seandainya bisa, aku ingin terbang bersamamu dan burung-burung di atas sana. Aku ingin terus duduk bersamamu di bawah teduhnya pohon-berbagi eclair, ditemani matahari dan angin sepoi-sepoi. Aku ingin terus menggenggam jari-jemarimu, berbagi rasa dan hangat tubuh-selamanya.Sayangnya, gravitasi menghalangiku. Putaran bumi menambah setiap detik di hari-hari kita. Seperti lili"
"Bebas dari Neoliberalisme","Mansour Fakih",251,4.28,2,166,2003,NA,"INSISTPress",NA,"Indonesian",NA,NA,"Menurut Mansour Fakih, setidaknya ada 5 pendirian neoliberalisme. Pertama biarkan pasar bekerja; kedua, kurangi pemborosan dengan memangkas semua anggaran negara yang tidak produktif seperti subsidi untuk pelayanan sosial. Pendirian yang ketiga adalah deregulasi ekonomi; keempat, keyakinan terhadap privatisasi; dan kelima, gantikan gagasan “barang-barang publik”, solidarit"
"Pintu Terlarang","Sekar Ayu Asmara",250,3.73,98,227,2005,2004,"Andal Krida Nusantara","Gambir, Talyda, Pusparanti","Indonesian",NA,NA,"Kemarahan Talyda, seorang perempuan cantik, perfeksionis, yang demikian tak terduga hanya karena satu hal : Pintu Terlarang. Adalah Gambir, suami Talyda yang juga berprofesi sebagai pematung. Dalam kehidupannya yang dipenuhi lika-liku, hanya satu hal yang selalu mengusiknya. Sebuah pintu dari kayu jati yang selalu tertutup dan terkunci rapat di salah satu bagian studionya."
"Hujan Kepagian","Nugroho Notosusanto",249,4.04,24,67,1987,1958,"Balai Pustaka",NA,"Indonesian",NA,NA,"These short stories are eyewitness account from the frontlines of the War of Independence, the period of time where Indonesians declared war against the Dutch forces (the latter seek to regain control of the archipelago post World War II's defeat of the Japanese). The stories are more about the personal struggles of the individuals involved in the battlefields, not the her"
"Syahid Samurai","Afifah Afra",249,3.76,3,198,2002,NA,"Era Intermedia",NA,"Indonesian","Johana Rijkaard #2","Indonesia","Johana Alexander Riijkaard mengira Mahmud Ali Syah sang suami telah tewas.Tetapi begitukah sebuah takdir harus dilalui? Jika kemudian muncul Akiro Fujiwara yang mampu mengoyak keteguhan jiwa sufi yang dipeluknya, akankah ia menerima Mahmud meskipun disisinya telah bersannding seseorang yang syah secara syariat?Indahnya pengorbanan, berlikunya proses hidayah dan pemahaman t"
"Rinai","Sinta Yudisia",249,4.01,25,400,2012,NA,"Gizone Books",NA,"Indonesian",NA,NA,"Ia menolehkan kepala ke arah mereka yang duduk diam. Menjelaskan secara runut peristiwa penyerangan Israel yang selalu dilakukan tiba-tiba, menyebabkan sebagian warga Palestina eksodus atau tewas.Rinai tak begitu memperhatikan struktur kalimat. Mengamati kedip mata berikut perubahan raut muka, jauh lebih menegangkan, memberi informasi. Wajah Montaser tetap ramah, penjelasa"
"Negeri Di Ujung Tanduk","Tere Liye",249,4.22,432,360,2013,NA,"Gramedia Pustaka Utama",NA,"Indonesian","Negeri Para Bedebah #2",NA,"Di Negeri di Ujung Tanduk kehidupan semakin rusak, bukan karena orang jahat semakin banyak, tapi semakin banyak orang yang memilih tidak peduli lagi.Di Negeri di Ujung Tanduk, para penipu menjadi pemimpin, para pengkhianat menjadi pujaan, bukan karena tidak ada lagi yang memiliki teladan, tapi mereka memutuskan menutup mata dan memilih hidup bahagia sendirian.Tapi di Neger"
"Eliana, Eliana: Sebuah Skenario","Prima Rusdi",242,3.23,3,133,2002,NA,"Metafor Pub.",NA,"English",NA,NA,NA
"Tanah Air Bahasa: Seratus Jejak Pers Indonesia","Taufik Rahzen",242,3.92,7,456,2007,NA,"Indonesia Buku dan The Blora Institute",NA,"Indonesian",NA,NA,"Jejak pers Indonesia adalah jalan dan usaha merumahkan bahasa terus-menerus dan sekaligus mengikat kesatuan tanah dan air untuk memelihara kesadaran berbangsa. Jalan ini sudah dan akan melahirkan ribuan koran dan sederet tokoh-tokohnya. Keseluruhan bilangan ekspresi itu mencoba menyumbang dengan cara dan pandangannya sendiri untuk kokohnya sebuah rumah bahasa. Dalam serang"
"Timor Timur Satu Menit Terakhir: Catatan Seorang Wartawan","C.M. Rien Kuntari",237,3.76,5,481,2008,NA,"Mizan",NA,"Indonesian",NA,NA,"Meliput konflik adalah tugas sehari-hari Rien Kuntari, wartawan Kompas. Dia telah memasuki medan-medan perang paling berbahaya, termasuk Rwanda, Irak dan Kamboja. Tapi , di antara semua wilayah konflik yang pernah dia liput, Timor Timur adalah yang paling sulit, paling membahayakan dan sekaligus paling mengesankan.Sebagai seorang wartawan yang dituntut bersikap objektif da"
"Kerusuhan Mei 1998: Fakta, Data dan Analisa","Ester Indahyani Jusuf",231,3.73,1,464,2008,2007,"SNB dan APHI",NA,"Indonesian",NA,NA,NA
"Kuda Terbang Maria Pinto","Linda Christanty",212,3.81,29,134,2004,NA,"Kata Kita",NA,"Indonesian",NA,NA,"Menampilkan tema-tema kemanusiaan tanpa menyerahkan sastra ke bawah telapak kaki penindasan pesan, bukan upaya gampang. Linda Christanty mampu menaklukkan kemuskilan ini. Dalam sebagian besar cerpen-cerpennya, kelamin prosa dan kelamin puisi menyatu bersejiwa melahirkan pukauan mengasyikkan, mengatasi namun meninggikan ikhwal pesan pada tukikan kedalaman yang mencerahkan."
"Surat Dahlan","Khrisna Pabichara",199,3.89,41,378,2013,NA,"Noura Books",NA,"Indonesian",NA,NA,"Bagi setiap perantau sepertiku, rindu adalah hantu yang paling menakutkan. Tak ada yang tahu bagaimana ia mendatangiku setiap waktu. … begitu menyiksa, menggeretakkan tulang-tulang ketabahan.Karang Asam, Samarinda, Bumi Etam.Dua tahun telah berlalu, sejak Dahlan meninggalkan Kebon Dalem. Sayangnya, merantau dan menjadi mahasiswa tidak semudah yang dibayangkan. Perkuliahan"
"Kraton Pajang: Titik Temu Dinasti Besar Kerajaan Jawa Yang Menempuh Jalan Spiritual, Intelektual, Sosial dan Kultural","Purwadi",197,NA,1,852,2008,NA,"Panji Pustaka",NA,"Indonesian",NA,"Indonesia","Kraton Pajang menduduki posisi yang amat penting dalam pentas sejarah nasional. Dinasti besar kerajaan Jawa yaitu Majapahit, Demak, Mataram. Ketiganya bertemu di antara silsilah Kraton Pajang. Pada diri Sultan Hadiwijaya yang menjadi raja Pajang mengalir darah Majapahit dan Demak. Sebelum menjadi raja, dia bernama Joko Tingkir atau Mas Karebet yang suka melakukan lara rapa"
"I La Galigo: Cerita Bugis Kuno","Rudolf Arnold Kern",197,4.27,5,1043,1989,NA,"Gadjah Mada University Press",NA,"Indonesian",NA,NA,NA
"Arsitektur Hujan","Afrizal Malna",197,3.88,17,NA,1995,NA,"Bentang",NA,"Indonesian",NA,NA,NA
"Agar Bidadari Cemburu Padamu","Salim Akhukum Fillah",197,3.91,112,254,2006,2004,"Pro-U media",NA,"Indonesian",NA,NA,"Buku ini hadir untuk wanita yang ingin menghadirkan atmosfer surga dalam setiap hirup nafasnya. Yang muda maupun yang telah kaya pengalaman hidup. Yang sudah mendampingi dan didampingi, juga yang sedang menanti. Agar bidadari cemburu padamu.Lalu para lelaki? Seharusnya mereka juga tahu bagaimana memeperlakukan wanita dengan keadilan syari’at Allah. Menjaga tanpa mengekang,"
"Perang Eropa III","P.K. Ojong",196,4.12,15,392,2004,NA,"Penerbit Buku Kompas",NA,"Indonesian",NA,NA,"Buku Perang Eropa jilid III ini dimulai dengan kisah pendaratan Sekutu di Pantai Normandia, Perancis, 6 Juni 1944, yang dikenal dengan nama D-Day, dan ditutup dengan menyerahnya Jerman Nazi pada awal Mei 1945.Dalam buku ini ditampilkan ilustrasi mengenai para prajurit dari berbagai negara yang terlibat dalam PD II, dalam halaman full color. Perang Dunia II yang merupakan p"
"Muhammad: Para Pengeja Hujan","Tasaro G.K.",196,4.39,85,688,2011,NA,"Bentang Pustaka",NA,"Indonesian","Muhammad #2",NA,"""Paman, tolong aku! Tolong aku, Paman!""Suara Xerxes selalu mengiang di telingan Kashva setiap terbangun dari tidurnya. Anak dari perempuan pujaan yang dititipkan kpadanya ketika terjadi penyerangan oleh pasukan Raja Khosrou itu, kini terpisah darinya.Minggu demi minggu dilalui Kashva di Tibet dengan mendaki 13 gunung suci bersama Biksu Tashidelek. Ia pun tenggelam dalam la"
"Celana Pacarkecilku di Bawah Kibaran Sarung","Joko Pinurbo",193,3.92,23,219,2007,NA,"Gramedia Pustaka Utama",NA,"Indonesian",NA,NA,"Buku ini berisi sajak-sajak Joko Pinurbo yang pernah dimuat dalam ""Celana"", ""Di Bawah Kibaran Sarung"", dan ""Pacarkecilku"", trio kumpulan puisi yang telah memperkenalkan penyairnya sebagai salah satu ikon penting dunia perpuisian Indonesia modern. Niscaya buku ini merupakan dokumentasi karya yang sangat berharga dari penyair yang telah menerima berbagai penghargaan sastra i"
"Si Parasit Lajang: Seks, Sketsa, & Cerita","Ayu Utami",191,3.4,192,180,2003,NA,"Gagas Media",NA,"Indonesian","Parasit Lajang #1",NA,"Jika perkawinan ibarat pasar, orang-orang yang memutuskan tidak menikah sesungguhnya mengurangi pasokan istri seperti OPEC mengatur suplai minyak. Saya percaya berkeluarga itu bagus untuk orang lain."
"Pendekar Pedang Akhirat (Wiro Sableng, #18)","Bastian Tito",190,2.95,13,128,1985,NA,"Lokajaya Agensi",NA,"Indonesian","Wiro Sableng #18","Indonesia",NA
"Keluarga Gerilya: Kisah Keluarga Manusia dalam Tiga Hari-Tiga Malam","Pramoedya Ananta Toer",190,4.1,25,NA,1950,1950,NA,NA,"Indonesian",NA,"Indonesia","Wahab dihukum mati Belanda, tanpa membocorkan rahasia kawannya. Novel ini penuh imajinasi, meskipun beberapa bagian merupakan fakta nyata, terutama pengalaman revolusi pengarangnya yang dijadikan acuan pokok untuk memberikan makna kepada gejala zamannya. Novel ini dapat memberi makna tentang semangat cinta tanah air dan bangsa melebihi cintanya kepada keluarga dan diri sen"
"Ungu","Agnes Jessica",190,3.89,10,NA,2011,NA,"Pustaka Hermon",NA,"Indonesian",NA,NA,NA
"Dua Bayang-bayang","Agnes Jessica",190,3.56,8,NA,NA,NA,"Vania Books",NA,"Indonesian",NA,NA,NA
"Kering","Iwan Simatupang",189,3.94,15,168,1985,1972,"Gunung Agung","Aku","Indonesian",NA,"Indonesia","Seorang mahasiswa berotak cemerlang, atas kehendaknya sendiri meninggalkan bangku kuliah. Ia tidak puas dengan sistem dan materi pendidikan yang diterimanya. Pergi bertransmigrasi, juga atas kemauannya sendiri.Kemarau yang sangat panjang mendatangkan kesengsaraan bagi seluruh penduduk. Rumput-rumput merunduk layu, satu persatu mata air kering. Satu demi satu enduduk mening"
"Nila","Agnes Jessica",188,3.95,12,NA,2011,NA,"Pustaka Hermon",NA,"Indonesian","Pelangi #6",NA,"Terpisah dari orang tua dan saudara kembarnya sejak kecil, Fatimah daisuh oleh seorang wanita yang mengasihinya, tapi sangat miskin. Kemiskinan begitu menjeratnya, sehingga ketika ia terdesak oeh penyakit ibunya, ia terjun ke lembah hitam sebagai seorang pelacur. Hidupnya terikat oleh dua laki-laki yang berpengaruh besar pada dirinya, yaitu seorang pria beristri, dan seora"
"Dilan: Dia Adalah Dilanku Tahun 1990 (Dilan, #1)","Pidi Baiq",188,4.13,1416,332,2014,NA,"Pastel Books",NA,"Indonesian","Dilan #1",NA,"""Milea, kamu cantik, tapi aku belum mencintaimu. Enggak tahu kalau sore. Tunggu aja"" (Dilan 1990)""Milea, jangan pernah bilang ke aku ada yang menyakitimu, nanti, besoknya, orang itu akan hilang."" (Dilan 1990)""Cinta sejati adalah kenyamanan, kepercayaan, dan dukungan. Kalau kamu tidak setuju, aku tidak peduli."" (Milea 1990)"
"Pengakuan: Eks Parasit Lajang","Ayu Utami",188,3.67,100,328,2013,NA,"Kepustakaan Populer Gramedia",NA,"Indonesian","Parasit Lajang #2",NA,"Pengakuan: Eks Parasit Lajang (Kepustakaan Populer Gramedia, 2013) adalah autobiografi seksualitas dan spiritualitas Ayu Utami. Seperti Cerita Cinta Enrico, kisah nyata ini ditulis dalam bentuk novel, dengan tokoh A, seorang perempuan yang memutuskan untuk melepas keperawanannya di usia dua puluh tahun, untuk sekaligus menghapus konsep keperawanan yang baginya tidak adil."
"Susi: sajak-sajak 2008-2013","Gus tf Sakai",188,4.57,0,NA,2015,NA,"Kabarita",NA,"Indonesian",NA,NA,NA
"All You Can Eat","Christian Simamora",187,3.76,235,472,2013,NA,"GagasMedia","Alejandro Putra Vimana, Sarah Christiana","Indonesian","#JBOYFRIEND","Ubud Jakarta(Indonesia)","‘CINTA KOK BIKIN SEDIH?’Dear pembaca,Berbeda dengan penulis lain di luar sana, aku akan berterus terang mengenai akhir novel ini: bahagia. Tapi, kumohon, jangan desak aku untuk menceritakan awal ceritanya. Juga tentang siapa Sarah, siapa Jandro, dan apa yang menghubungkan mereka berdua.Aku juga tak akan melebih-lebihkan penjelasanku mengenai novel kesepuluhku ini. ‘All You"
"Laba-Laba: Kumpulan Cerpen","Gus tf Sakai",186,3.61,9,174,2003,NA,"Gramedia Pustaka Utama",NA,"Indonesian",NA,NA,"Antologi cerita pendek karya Gus tf Sakai."
"Berhala: Kumpulan Cerita Pendek","Danarto",185,3.9,15,208,1987,NA,"Pustaka Firdaus",NA,"Indonesian",NA,NA,"Setelah Godlob (1975: 9 cerpen) dan Adam Ma'rifat (1982: 6 cerpen), Danarto kembali menghadirkan kumpulan cerita pendek ketiga, Berhala (1987). Semua kumpulan cerpen tersebut jelas menyiratkan jalan pemikiran Danarto, bahwa realitas yang tak nampak, jalin-menjalin menjadi satu. Seperti dunia dan akhirat.Berhala mendapatkan penghargaan dari Pusat Bahasa pada tahun 1990 dan"
"Spring in London","Ilana Tan",185,3.95,401,238,2010,NA,"Gramedia Pustaka Utama","Naomi Ishida, Danny Jo (Jo In-Ho), Miho Nakajima, Christopher Scott, Julie Hathaway...more, Anna Jo, Bobby Shin, Kim Dong-Min...less","Indonesian","Season Series #4","London, England","Gadis itu tidak menyukainya. Kenapa? Astaga, ia—Danny Jo—adalah orang yang baik. Sungguh! Ia selalu bersikap ramah, sopan dan menyenangkan. Lalu kenapa Naomi Ishida menjauhinya seperti wabah penyakit? Bagaimana mereka bisa bekerja sama dalam pembuatan video musik ini kalau gadis itu mengacuhkannya setiap saat? Kesalahan apa yang sudah dia lakukan? Bagaimanapun juga Danny b"
"Kaki yang Terhormat","Gus tf Sakai",184,3.46,15,132,2012,NA,"Gramedia Pustaka Utama",NA,"Indonesian",NA,NA,"Menurut Anda, bagian tubuh manakah yang paling penting? Saya yakin, tak mudah untuk langsung menjawab. Tetapi, bila hal itu ditanyakan kepada nenek saya, serta-merta ia akan bilang, “Kaki!” seraya mengangkat sebelah kaki, dengan telunjuk menukik lurus ke bawah, dalam hitungan yang tak mencapai detik.….Sebetulnya, kalau mau jujur, bukan hanya Nenek yang bangga. Banyak dari"
"Cafe Opera: Kumpulan Cerita Pendek","Bondan Winarno",183,3.62,0,97,1986,NA,"Grafiti Pers",NA,"Indonesian",NA,NA,NA
"Summer in Seoul","Ilana Tan",183,3.9,551,280,2006,NA,"Gramedia Pustaka Utama","Jung Tae-Woo, Sandy (Han Soon-Hee), Park Hyun-Shik, Kang Young-Mi, Lee Jeong-Su","Indonesian","Season Series #1","Seoul (in South Korea)(Korea, Republic of)","Jung Tae-Woo—penyanyi muda terkenal Seoul yang muncul kembali setelah empat tahun menghindari dunia showbiz.""Aku hanya ingin memintamu berfoto denganku sebagai pacarku,"" kata Jung Tae-Woo pada gadis di hadapannya.Sandy alias Han Soon-Hee—gadis blasteran Indonesia-Korea yang sudah mengenali Jung Tae-Woo sejak awal, namun sedikit pun tidak terkesan.Sandy mengangkat wajahnya"
"Anak Rembulan: Negeri Misteri di Balik Pohon Kenari","Djokolelono",183,3.76,33,350,2011,NA,"Penerbit Mizan / Mizan Fantasi",NA,"Indonesian",NA,NA,"Nono ketakutan. Kenapa dia bisa tersesat di dalam sebatang pohon kenari? Padahal dia hanya ingin mengambil sepedanya yang tersandar di sana. Dan siapa pula anak berkulit hitam misterius yang memancingnya ke sana? Nono ingin keluar. Tapi di dalam pohon itu, membentang dunia berbeda. Dia tiba di zaman Belanda!Itu belum seberapa. Masih banyak hal-hal aneh lain. Misalnya, gadi"
